generic_name_raw,brand_name_raw,product_type,route,source
"OCTINOXATE, ZINC OXIDE",LBEL CONCENTRE GLOBAL ANTI AGING SERUM CONCEALER SPF 15 EYES FACE CREME 110,HUMAN OTC DRUG,TOPICAL,snapshot
palovarotene,SOHONOS,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
NATRUM MUR,NATRUM MUR,HUMAN OTC DRUG,ORAL,snapshot
Cyclobenzaprine Hydrochloride,Cyclobenzaprine Hydrochloride,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
desogestrel/ethinyl estradiol and ethinyl estradiol,PIMTREA,HUMAN PRESCRIPTION DRUG,,snapshot
CAPECITABINE,CAPECITABINE,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Phenytoin Sodium,Phenytoin Sodium,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
ibuprofen,childrens ibuprofen,HUMAN OTC DRUG,ORAL,snapshot
Bumetanide,Bumex,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,EPIDURAL,snapshot
Venlafaxine Hydrochloride,Venlafaxine Hydrochloride,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Elaeagnus angustifolia,Russian Olive Pollen,NON-STANDARDIZED ALLERGENIC,INTRADERMAL,snapshot
Mometasone furoate,Mometasone furoate,HUMAN PRESCRIPTION DRUG,TOPICAL,snapshot
Artemisia ludoviciana,Prairie Mugwort Darkleaved Sagebrush,NON-STANDARDIZED ALLERGENIC,INTRADERMAL,snapshot
Quetiapine,Quetiapine,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Juglans regia,English Walnut,NON-STANDARDIZED ALLERGENIC,INTRADERMAL,snapshot
FLUOXETINE,FLUOXETINE,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Verapamil hydrochloride,Verapamil hydrochloride,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,snapshot
clonidine hydrochloride oral,JAVADIN,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Docusate sodium,Docusate sodium,HUMAN OTC DRUG,ORAL,snapshot
cefoxitin,Cefoxitin,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,snapshot
ECULIZUMAB,SOLIRIS,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,snapshot
Dextroamphetamine,Dextroamphetamine,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
lacosamide,Vimpat,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Ignatia Amara,Ignatia Amara,HUMAN OTC DRUG,ORAL,snapshot
Ptelea Trifoliata,Ptelea Trifoliata,HUMAN OTC DRUG,ORAL,snapshot
Stramonium,Stramonium,HUMAN OTC DRUG,ORAL,snapshot
menthol,PREMIERES PAIN,HUMAN OTC DRUG,TOPICAL,snapshot
"amlodipine,valsartan and hydrochlorothiazide","amlodipine,valsartan and hydrochlorothiazide",HUMAN PRESCRIPTION DRUG,ORAL,snapshot
POVIDONE-IODINE,Povidone Iodine Prep,HUMAN OTC DRUG,TOPICAL,snapshot
Atazanavir,Atazanavir,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Fenofibrate,Fenofibrate,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
"Acetaminophen, dextromethorphan HBr, doxylamine succinate, phenylephrine HCl",topcare nite time cold and flu,HUMAN OTC DRUG,ORAL,snapshot
Menthol,Topcare Cold and Hot Medicated,HUMAN OTC DRUG,TOPICAL,snapshot
Calcarea Fluorica,Calcarea Fluorica,HUMAN OTC DRUG,ORAL,snapshot
Cina,Cina,HUMAN OTC DRUG,ORAL,snapshot
Conium Maculatum,Conium Maculatum,HUMAN OTC DRUG,ORAL,snapshot
Glycerinum,Glycerinum,HUMAN OTC DRUG,ORAL,snapshot
POTASSIUM CHLORIDE,Potassium Chloride,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
ertapenem sodium,INVANZ,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,snapshot
Sucralfate Oral,Sucralfate,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
"Acetaminophen, dextromethorphan HBr, doxylamine succinate, phenylephrine HCl",Severe Cold and Flu,HUMAN OTC DRUG,ORAL,snapshot
"Dextrose(glucose),Levulose(fructose),Phosphoric acid",Meijer Anti Nausea,HUMAN OTC DRUG,ORAL,snapshot
Psyllium Husk,Publix Fiber Therapy Orange Smooth,HUMAN OTC DRUG,ORAL,snapshot
OXYGEN,OXYGEN,HUMAN PRESCRIPTION DRUG,RESPIRATORY (INHALATION),snapshot
Manganum Oxydatum Nigrum,Manganum Oxydatum Nigrum,HUMAN OTC DRUG,ORAL,snapshot
Xerophyllum Asphodeloides,Xerophyllum Asphodeloides,HUMAN OTC DRUG,ORAL,snapshot
Gallium Metallicum,Gallium Metallicum,HUMAN OTC DRUG,ORAL,snapshot
Zirconium Metallicum,Zirconium Metallicum,HUMAN OTC DRUG,ORAL,snapshot
Germanium Oxydatum,Germanium Oxydatum,HUMAN OTC DRUG,ORAL,snapshot
Alumina,Alumina,HUMAN OTC DRUG,ORAL,snapshot
Mercurius Arsenicicus,Mercurius Arsenicicus,HUMAN OTC DRUG,ORAL,snapshot
Pleurotus Ostreatus,Pleurotus Ostreatus,HUMAN OTC DRUG,ORAL,snapshot
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",HEB SPF 50 Peach Bellini Scented Continuous Sunscreen,HUMAN OTC DRUG,TOPICAL,snapshot
esomeprazole,Esomeprazole Magnesium,HUMAN OTC DRUG,ORAL,snapshot
edaravone,edaravone,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,snapshot
Naproxen Sodium,equaline naproxen sodium,HUMAN OTC DRUG,ORAL,snapshot
Acetaminophen,Kroger Children Pain plus Fever chewables,HUMAN OTC DRUG,ORAL,snapshot
Diphenhydramine HCl,After Bite Outdoor,HUMAN OTC DRUG,TOPICAL,snapshot
"Apis Mellifica, Antimonium Crudum, Ascorbicum Acidum, Bovista, Carbolicum Acidum, Chamomilla, Cortisone Aceticum, Ginkgo Biloba, Hepar Suis, Histaminum Hydrochloricum, Natrum Muriaticum, Quercetin, Rhus Tox, Scutellaria Lateriflora, Stomach (Suis), Urtica Urens",MCAS Support,HUMAN OTC DRUG,ORAL,snapshot
"Baptisia Tinctoria, Phytolacca Decandra, Apis Mellifica, Belladonna, Lachesis Mutus, Mercurius Solubilis, Hepar Sulphuris Calcareum",Throat Formula,HUMAN OTC DRUG,ORAL,snapshot
ertugliflozin and metformin hydrochloride,SEGLUROMET,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Oxytocin,Oxytocin,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,snapshot
azithromycin,AZITHROMYCIN,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Ciprofloxacin,Ciprofloxacin,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Hydrocortisone,Hydrocortisone,HUMAN PRESCRIPTION DRUG,TOPICAL,snapshot
MILSAPERIDONE,BYSANTI,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
Quinapril HCl and Hydrochlorothiazide,Quinapril HCL and Hydrochlorothiazide,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
PETROLATUM,health beyond VITAMINS AD,HUMAN OTC DRUG,TOPICAL,snapshot
Omeprazole and Sodium Bicarbonate,Omeprazole and Sodium Bicarbonate,HUMAN OTC DRUG,ORAL,snapshot
Deferasirox,Deferasirox,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
"Ceanothus Americanus, Argentum Nitricum, Condurango, Hydrastis Canadensis, Momordica Balsamina, Pulsatilla (Pratensis), Bile Duct (Suis), Colon (Suis), Duodenum (Suis), Esophagus (Suis), Eye (Suis), Gallbladder (Suis), Ileum (Suis), Intestine (Suis), Ipecacuanha, Jejunum (Suis), Kali Bichromicum, Lung (Suis), Mucosa Nasalis Suis, Natrum Oxalaceticum, Oral Mucosa (Suis), Pancreas Suis, Phosphorus, Rectal Mucosa (Suis), Stomach (Suis), Sulphur, Veratrum Album, Mannose, Anacardium Orientale, Kreosotum,",Matrix Support,HUMAN OTC DRUG,ORAL,snapshot
"Doxylamine Succinate and Pyridoxine Hydrochloride, Delayed release Tablets 10 mg/10 mg",Doxylamine Succinate and Pyridoxine Hydrochloride,HUMAN PRESCRIPTION DRUG,ORAL,snapshot
